date,avg_price,total_sold,small_sold,large_sold,xl_sold,total_bags_sold,small_bags_sold,large_bags_sold,xl_bags_sold
42729.00,1.00,30290000.00,9255000.00,10280000.00,542000.00,10210000.00,7710000.00,2417000.00,81101.22
42722.00,0.96,29580000.00,9394000.00,10340000.00,427900.00,9423000.00,6970000.00,2358000.00,94011.78
42715.00,0.98,30090000.00,9010000.00,,403000.00,10710000.00,8149000.00,2490000.00,73342.82
42708.00,1.00,31620000.00,11040000.00,9909000.00,428000.00,10240000.00,7187000.00,2989000.00,65350.63
42701.00,1.21,22920000.00,7891000.00,7337000.00,,7350000.00,5691000.00,1610000.00,48623.28
42694.00,1.27,24990000.00,,8034000.00,407600.00,8017000.00,6207000.00,1766000.00,44709.40
42687.00,1.36,24080000.00,8235000.00,7760000.00,477500.00,7603000.00,5603000.00,1957000.00,43104.31
42680.00,1.44,22530000.00,7804000.00,,505300.00,7098000.00,5245000.00,1812000.00,40918.74
42673.00,1.43,21010000.00,7100000.00,6852000.00,453100.00,6604000.00,4655000.00,1883000.00,66283.51
42666.00,1.34,24750000.00,7580000.00,8105000.00,452400.00,8617000.00,6509000.00,2017000.00,91798.83
42659.00,1.30,27710000.00,8811000.00,,447300.00,9594000.00,6934000.00,2575000.00,84553.37
42652.00,1.27,28860000.00,9553000.00,9579000.00,491000.00,9235000.00,6849000.00,2316000.00,69278.75
42645.00,1.23,29620000.00,9535000.00,9124000.00,490100.00,10470000.00,7409000.00,2981000.00,76030.52
42638.00,1.22,30310000.00,10550000.00,9256000.00,492600.00,10010000.00,7440000.00,2476000.00,91688.30
42631.00,1.15,31350000.00,11340000.00,9481000.00,486200.00,10040000.00,7650000.00,2311000.00,79996.50
42624.00,1.08,34130000.00,12960000.00,,512200.00,10270000.00,8200000.00,2016000.00,55304.06
42617.00,1.04,37130000.00,14640000.00,11080000.00,,10860000.00,8555000.00,2214000.00,93326.07
42610.00,1.09,33990000.00,12560000.00,10420000.00,563700.00,10450000.00,8504000.00,1785000.00,159271.47
42603.00,1.10,33590000.00,12730000.00,9906000.00,609700.00,10350000.00,8749000.00,1446000.00,155008.66
42596.00,1.12,34390000.00,12350000.00,,749200.00,10400000.00,8480000.00,1813000.00,111938.56
42589.00,1.15,33820000.00,12200000.00,10730000.00,754500.00,10140000.00,8386000.00,1570000.00,181048.76
42582.00,1.23,31200000.00,10170000.00,10420000.00,783900.00,9825000.00,8193000.00,1432000.00,199967.39
42575.00,1.20,32340000.00,10330000.00,10800000.00,948000.00,10260000.00,8316000.00,1561000.00,387400.22
42568.00,1.15,32660000.00,10320000.00,10630000.00,953600.00,10750000.00,8738000.00,1625000.00,390478.73
42561.00,1.10,35570000.00,11460000.00,11680000.00,1266000.00,11170000.00,8985000.00,1728000.00,454343.65
42554.00,1.06,39990000.00,12510000.00,13320000.00,1761000.00,12410000.00,9968000.00,1888000.00,551693.65
42547.00,1.04,36620000.00,12190000.00,12030000.00,1625000.00,10770000.00,8835000.00,1610000.00,328589.09
42540.00,1.02,38490000.00,13490000.00,12840000.00,1643000.00,10520000.00,8223000.00,1975000.00,317018.94
42533.00,1.04,35580000.00,12290000.00,11530000.00,1607000.00,10150000.00,8040000.00,1797000.00,311439.99
42526.00,0.97,40230000.00,13810000.00,13400000.00,1771000.00,11250000.00,8493000.00,2441000.00,321033.23
42519.00,0.94,40020000.00,13680000.00,13830000.00,,10920000.00,8086000.00,2658000.00,180120.85
42512.00,0.93,36960000.00,11710000.00,12980000.00,1641000.00,10620000.00,7836000.00,2563000.00,224991.99
42505.00,0.89,39910000.00,12450000.00,14440000.00,,11280000.00,7987000.00,3143000.00,146047.01
42498.00,0.82,46320000.00,14220000.00,17900000.00,1994000.00,12210000.00,8748000.00,3343000.00,120650.09
42491.00,0.84,42870000.00,13750000.00,15900000.00,1414000.00,11800000.00,8376000.00,3366000.00,62734.87
42484.00,0.87,39610000.00,12910000.00,14380000.00,1600000.00,10710000.00,7836000.00,2801000.00,75010.64
42477.00,0.90,37470000.00,,12900000.00,1896000.00,10720000.00,8129000.00,2467000.00,125169.40
42470.00,0.90,36580000.00,12880000.00,,1666000.00,10500000.00,7809000.00,2613000.00,77737.02
42463.00,0.94,33670000.00,11320000.00,11510000.00,1732000.00,9103000.00,6830000.00,2213000.00,59188.81
42456.00,0.94,35930000.00,11250000.00,12750000.00,1880000.00,10060000.00,7745000.00,2228000.00,82386.14
42449.00,0.93,36340000.00,,13730000.00,1773000.00,9701000.00,7249000.00,2374000.00,77638.79
42442.00,0.93,36370000.00,11660000.00,13100000.00,1800000.00,9808000.00,7231000.00,2521000.00,55589.00
42435.00,0.95,35060000.00,11820000.00,12200000.00,1686000.00,9357000.00,7503000.00,1748000.00,106815.12
42428.00,0.91,36800000.00,11910000.00,13210000.00,1560000.00,10120000.00,7252000.00,2802000.00,69494.92
42421.00,0.94,32800000.00,,12000000.00,1375000.00,9410000.00,7213000.00,2151000.00,45654.02
42414.00,0.88,36480000.00,11910000.00,13190000.00,1811000.00,9564000.00,7102000.00,2387000.00,74421.62
42407.00,0.76,52290000.00,16570000.00,20470000.00,2546000.00,12700000.00,9083000.00,3373000.00,241661.48
42400.00,0.93,34720000.00,11100000.00,13280000.00,1644000.00,8701000.00,6685000.00,1824000.00,192999.80
42393.00,0.95,32790000.00,7020000.00,14050000.00,1440000.00,10270000.00,7438000.00,2668000.00,165014.74
42386.00,0.94,34430000.00,10040000.00,13830000.00,1419000.00,9138000.00,6846000.00,2228000.00,63337.40
42379.00,0.93,35260000.00,,13230000.00,1283000.00,9314000.00,6735000.00,2528000.00,50874.09
42372.00,0.86,38140000.00,,16050000.00,1560000.00,8911000.00,6465000.00,2287000.00,159083.80