employee,day1,day2,day3,day4,day5,day6,day7
employee_1,2,3,3,6,4,2,0
employee_2,19,23,18,22,23,29,25
employee_3,24,18,15,19,18,22,17
employee_4,22,18,27,26,19,21,25
employee_5,25,25,26,31,24,36,37
employee_6,22,20,29,26,23,22,29
employee_7,0,4,2,2,3,4,2
employee_8,12,3,15,7,1,15,11
employee_9,19,22,22,19,25,24,23
employee_10,23,12,19,25,18,22,22
employee_11,29,27,23,25,29,30,17
employee_12,13,13,20,17,12,22,20
employee_13,7,17,9,5,11,9,9
employee_14,26,27,28,36,29,31,30
employee_15,7,6,4,11,5,5,15
employee_16,32,35,31,35,24,25,36
employee_17,7,17,9,12,13,6,12
employee_18,9,6,3,12,3,8,6
employee_19,0,1,11,6,0,4,11
employee_20,9,12,6,13,12,13,11
employee_21,6,15,15,10,9,7,18
employee_22,17,17,12,4,14,17,7
employee_23,1,12,8,2,4,4,11
employee_24,5,8,0,1,6,3,1
employee_25,2,7,5,3,1,5,5
employee_26,29,25,32,28,28,27,27
employee_27,17,15,17,23,23,17,22
employee_28,26,32,33,30,33,28,26
employee_29,27,29,24,29,26,31,28
employee_30,4,1,1,2,1,7,4
employee_31,22,22,17,20,14,19,13
employee_32,9,11,7,10,8,15,5
employee_33,6,5,12,5,17,17,4
employee_34,18,17,12,22,22,13,12
employee_35,2,12,13,7,10,6,2
employee_36,32,26,20,23,24,25,21
employee_37,5,13,12,11,6,5,10
employee_38,6,10,11,6,6,2,5
employee_39,30,37,32,35,37,41,42
employee_40,34,33,32,35,33,27,35
employee_41,15,19,21,18,22,26,22
employee_42,28,29,30,19,21,19,26
employee_43,6,8,6,7,17,11,14
employee_44,17,22,27,24,18,28,24
employee_45,6,10,17,18,13,10,7
employee_46,18,19,22,17,21,15,23
employee_47,21,27,28,28,26,17,25
employee_48,10,18,20,18,12,19,17
employee_49,6,15,15,15,10,14,2
employee_50,30,28,29,31,24,20,25