date,cpi,seriesid,data_type
2014-01-01,235.288,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2014-02-01,235.547,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2014-03-01,236.028,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2014-04-01,236.468,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2014-05-01,236.918,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2014-06-01,237.231,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2014-07-01,237.498,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2014-08-01,237.46,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2014-09-01,237.477,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2014-10-01,237.43,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2014-11-01,236.983,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2014-12-01,236.252,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2015-01-01,234.718,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2015-02-01,235.236,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2015-03-01,236.005,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2015-04-01,236.156,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2015-05-01,236.974,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2015-06-01,237.684,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2015-07-01,238.053,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2015-08-01,238.028,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2015-09-01,237.506,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2015-10-01,237.781,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2015-11-01,238.016,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2015-12-01,237.817,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2016-01-01,237.833,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2016-02-01,237.469,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2016-03-01,238.038,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2016-04-01,238.827,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2016-05-01,239.464,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2016-06-01,240.167,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2016-07-01,240.15,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2016-08-01,240.602,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2016-09-01,241.051,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2016-10-01,241.691,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2016-11-01,242.029,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2016-12-01,242.772,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2017-01-01,243.78,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2017-02-01,243.961,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2017-03-01,243.749,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2017-04-01,244.051,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2017-05-01,243.962,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2017-06-01,244.182,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2017-07-01,244.39,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2017-08-01,245.297,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2017-09-01,246.418,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2017-10-01,246.587,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2017-11-01,247.332,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2017-12-01,247.901,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2018-01-01,248.884,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2018-02-01,249.369,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2018-03-01,249.498,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2018-04-01,249.956,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2018-05-01,250.646,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2018-06-01,251.134,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2018-07-01,251.597,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2018-08-01,251.879,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2018-09-01,252.01,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2018-10-01,252.794,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2018-11-01,252.76,CUSR0000SA0,SEASONALLY ADJUSTED INDEX
2018-12-01,252.723,CUSR0000SA0,SEASONALLY ADJUSTED INDEX