iid,cid,invoice_date,total,bill_ctry
49,30,40031,1.98,Canada
50,32,40031,1.98,Canada
51,34,40032,3.96,Portugal
52,38,40033,5.94,Germany
53,44,40036,8.91,Finland
54,53,40041,13.86,UK
55,8,40049,0.99,Belgium
133,14,40403,1.98,Canada
134,16,40403,1.98,USA
135,18,40404,3.96,USA
136,22,40405,5.94,USA
137,28,40408,8.91,USA
138,37,40413,13.86,Germany
139,51,40421,0.99,Sweden
216,56,40762,0.99,Argentina
217,57,40775,1.98,Chile
218,59,40775,1.98,India
219,2,40776,3.96,Germany
220,6,40777,5.94,Czech Republic
221,12,40780,8.91,Brazil
222,21,40785,13.86,USA
299,26,41126,23.86,USA
300,40,41134,0.99,France
301,41,41147,1.98,France
302,43,41147,1.98,France
303,45,41148,3.96,Hungary
304,49,41149,5.94,Poland
305,55,41152,8.91,Australia
378,46,41488,1.98,Ireland
379,48,41488,1.98,Netherlands
380,50,41489,3.96,Spain
381,54,41490,5.94,UK
382,1,41493,8.91,Brazil
383,10,41498,13.86,Brazil
384,24,41506,0.99,USA